YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-12,WEEKDAY,23,TRAIN,NE14,2315,19747
2023-12,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1696,11964
2023-12,WEEKENDS/HOLIDAY,22,TRAIN,NS9/TE2,16807,34518
2023-12,WEEKDAY,22,TRAIN,NS9/TE2,26242,61265
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,DT22,4939,7607
2023-12,WEEKDAY,12,TRAIN,DT22,6663,8893
2023-12,WEEKENDS/HOLIDAY,18,TRAIN,DT28,7525,7491
2023-12,WEEKDAY,18,TRAIN,DT28,34882,21644
2023-12,WEEKDAY,12,TRAIN,DT34,4771,3256
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,DT34,2810,1625
2023-12,WEEKDAY,9,TRAIN,SW7,3902,1064
2023-12,WEEKENDS/HOLIDAY,9,TRAIN,SW7,2012,576
2023-12,WEEKDAY,12,TRAIN,NE17/PTC,40061,37478
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,28805,23719
2023-12,WEEKDAY,19,TRAIN,NE8,36217,59061
2023-12,WEEKENDS/HOLIDAY,19,TRAIN,NE8,33374,33335
2023-12,WEEKENDS/HOLIDAY,22,TRAIN,NS28,731,699
2023-12,WEEKDAY,22,TRAIN,NS28,717,409
2023-12,WEEKENDS/HOLIDAY,0,TRAIN,DT10/TE11,116,557
2023-12,WEEKDAY,0,TRAIN,DT10/TE11,65,349
2023-12,WEEKDAY,10,TRAIN,EW16/NE3/TE17,24623,33518
2023-12,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,9821,10554
2023-12,WEEKDAY,9,TRAIN,CC14,9885,6125
2023-12,WEEKENDS/HOLIDAY,9,TRAIN,CC14,3745,2081
2023-12,WEEKDAY,14,TRAIN,EW27,32052,33343
2023-12,WEEKENDS/HOLIDAY,14,TRAIN,EW27,25652,24833
2023-12,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2/TE20,11423,854
2023-12,WEEKDAY,0,TRAIN,NS27/CE2/TE20,22,104
2023-12,WEEKENDS/HOLIDAY,18,TRAIN,DT27,6002,5272
2023-12,WEEKDAY,18,TRAIN,DT27,31487,17228
2023-12,WEEKDAY,14,TRAIN,CC16,4189,4813
2023-12,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3761,3090
2023-12,WEEKDAY,10,TRAIN,EW11,18579,17196
2023-12,WEEKENDS/HOLIDAY,10,TRAIN,EW11,11570,9451
2023-12,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,1411,2579
2023-12,WEEKDAY,6,TRAIN,NS24/NE6/CC1,2730,7495
2023-12,WEEKDAY,22,TRAIN,TE15,6770,2877
2023-12,WEEKENDS/HOLIDAY,22,TRAIN,TE15,3977,1705
2023-12,WEEKENDS/HOLIDAY,0,TRAIN,EW19,220,1012
2023-12,WEEKDAY,0,TRAIN,EW19,66,728
2023-12,WEEKENDS/HOLIDAY,10,TRAIN,EW21/CC22,11005,9947
2023-12,WEEKDAY,10,TRAIN,EW21/CC22,12059,21182
2023-12,WEEKENDS/HOLIDAY,8,TRAIN,CC8,3748,2958
2023-12,WEEKDAY,8,TRAIN,CC8,19867,9258
2023-12,WEEKDAY,17,TRAIN,NE7/DT12,41308,32927
2023-12,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,25915,29797
2023-12,WEEKENDS/HOLIDAY,17,TRAIN,EW33,3683,2475
2023-12,WEEKDAY,17,TRAIN,EW33,13064,6654
2023-12,WEEKDAY,21,TRAIN,CC24,12591,2920
2023-12,WEEKENDS/HOLIDAY,21,TRAIN,CC24,3490,1309
2023-12,WEEKDAY,12,TRAIN,EW8/CC9,38850,52876
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,33846,39244
2023-12,WEEKENDS/HOLIDAY,20,TRAIN,BP5,643,977
2023-12,WEEKDAY,20,TRAIN,BP5,1360,2121
2023-12,WEEKDAY,12,TRAIN,EW15,30615,35535
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,EW15,10564,14480
2023-12,WEEKDAY,7,TRAIN,SW4,5593,975
2023-12,WEEKENDS/HOLIDAY,7,TRAIN,SW4,723,337
2023-12,WEEKENDS/HOLIDAY,22,TRAIN,DT33,2393,11520
2023-12,WEEKDAY,22,TRAIN,DT33,3541,22814
2023-12,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,24481,49066
2023-12,WEEKDAY,11,TRAIN,EW24/NS1,34210,68123
2023-12,WEEKENDS/HOLIDAY,21,TRAIN,NS13,22523,33142
2023-12,WEEKDAY,21,TRAIN,NS13,41590,64299
2023-12,WEEKDAY,5,TRAIN,NS13,23579,3676
2023-12,WEEKENDS/HOLIDAY,5,TRAIN,NS13,6812,949
2023-12,WEEKDAY,5,TRAIN,PW6,474,21
2023-12,WEEKENDS/HOLIDAY,5,TRAIN,PW6,156,3
2023-12,WEEKDAY,13,TRAIN,CC21,13100,8701
2023-12,WEEKENDS/HOLIDAY,13,TRAIN,CC21,5959,6339
2023-12,WEEKENDS/HOLIDAY,14,TRAIN,PE7,2364,2110
2023-12,WEEKDAY,14,TRAIN,PE7,3186,3661
