YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-01,WEEKDAY,22,TRAIN,NS28,900,735
2024-01,WEEKENDS/HOLIDAY,22,TRAIN,NS28,265,206
2024-01,WEEKDAY,0,TRAIN,DT10/TE11,58,388
2024-01,WEEKENDS/HOLIDAY,0,TRAIN,DT10/TE11,30,202
2024-01,WEEKDAY,10,TRAIN,EW16/NE3/TE17,28141,40043
2024-01,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,8565,9811
2024-01,WEEKENDS/HOLIDAY,9,TRAIN,CC14,3531,1734
2024-01,WEEKDAY,9,TRAIN,CC14,12966,8629
2024-01,WEEKDAY,14,TRAIN,EW27,33519,38982
2024-01,WEEKENDS/HOLIDAY,14,TRAIN,EW27,22550,22635
2024-01,WEEKDAY,0,TRAIN,NS27/CE2/TE20,22,145
2024-01,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2/TE20,10,91
2024-01,WEEKENDS/HOLIDAY,18,TRAIN,DT27,5099,4360
2024-01,WEEKDAY,18,TRAIN,DT27,39983,22417
2024-01,WEEKDAY,11,TRAIN,NS7,22617,15197
2024-01,WEEKENDS/HOLIDAY,11,TRAIN,NS7,10768,12170
2024-01,WEEKDAY,16,TRAIN,SW4,2071,3532
2024-01,WEEKENDS/HOLIDAY,16,TRAIN,SW4,1172,1293
2024-01,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1223,2161
2024-01,WEEKDAY,10,TRAIN,CC5,2923,5470
2024-01,WEEKDAY,13,TRAIN,CC23,14733,19642
2024-01,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2270,2069
2024-01,WEEKENDS/HOLIDAY,22,TRAIN,EW33,1231,2017
2024-01,WEEKDAY,22,TRAIN,EW33,1203,3035
2024-01,WEEKDAY,14,TRAIN,CC21,11121,9833
2024-01,WEEKENDS/HOLIDAY,14,TRAIN,CC21,5843,5075
2024-01,WEEKENDS/HOLIDAY,12,TRAIN,TE16,3611,2838
2024-01,WEEKDAY,12,TRAIN,TE16,6962,4590
2024-01,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,50340,48953
2024-01,WEEKDAY,18,TRAIN,EW24/NS1,257574,182156
2024-01,WEEKENDS/HOLIDAY,7,TRAIN,NE10,3932,3130
2024-01,WEEKDAY,7,TRAIN,NE10,32600,40364
2024-01,WEEKDAY,8,TRAIN,EW22,18705,67301
2024-01,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2241,2774
2024-01,WEEKDAY,7,TRAIN,BP10,15132,3065
2024-01,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1219,521
2024-01,WEEKENDS/HOLIDAY,15,TRAIN,NE10,7285,7263
2024-01,WEEKDAY,15,TRAIN,NE10,18920,17537
2024-01,WEEKDAY,18,TRAIN,EW22,37896,30524
2024-01,WEEKENDS/HOLIDAY,18,TRAIN,EW22,3929,2980
2024-01,WEEKENDS/HOLIDAY,15,TRAIN,CC25,3196,2654
2024-01,WEEKDAY,15,TRAIN,CC25,7011,5728
2024-01,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,10231,25292
2024-01,WEEKDAY,12,TRAIN,CE1/DT16,21168,42354
2024-01,WEEKDAY,10,TRAIN,SW6,4247,1614
2024-01,WEEKENDS/HOLIDAY,10,TRAIN,SW6,2607,967
2024-01,WEEKENDS/HOLIDAY,17,TRAIN,DT31,4623,4226
2024-01,WEEKDAY,17,TRAIN,DT31,13714,17850
2024-01,WEEKDAY,15,TRAIN,CC14,9970,8976
2024-01,WEEKENDS/HOLIDAY,15,TRAIN,CC14,2778,3108
2024-01,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3389,2605
2024-01,WEEKDAY,14,TRAIN,CC16,8414,7558
2024-01,WEEKDAY,10,TRAIN,EW11,22904,19432
2024-01,WEEKENDS/HOLIDAY,10,TRAIN,EW11,9882,8098
2024-01,WEEKDAY,6,TRAIN,NS24/NE6/CC1,4206,10179
2024-01,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,1159,2219
2024-01,WEEKENDS/HOLIDAY,22,TRAIN,TE15,3059,1129
2024-01,WEEKDAY,22,TRAIN,TE15,7108,3227
2024-01,WEEKENDS/HOLIDAY,0,TRAIN,EW19,43,362
2024-01,WEEKDAY,0,TRAIN,EW19,78,757
2024-01,WEEKENDS/HOLIDAY,10,TRAIN,EW21/CC22,8663,8803
2024-01,WEEKDAY,10,TRAIN,EW21/CC22,13026,25685
2024-01,WEEKENDS/HOLIDAY,8,TRAIN,CC8,3256,2729
2024-01,WEEKDAY,8,TRAIN,CC8,29299,11896
2024-01,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,23818,26017
2024-01,WEEKDAY,17,TRAIN,NE7/DT12,50740,37278
2024-01,WEEKDAY,17,TRAIN,EW33,16625,7614
2024-01,WEEKENDS/HOLIDAY,17,TRAIN,EW33,3083,2160
2024-01,WEEKENDS/HOLIDAY,0,TRAIN,NS8,806,1695
2024-01,WEEKDAY,0,TRAIN,NS8,670,3469
2024-01,WEEKDAY,18,TRAIN,NS14,50994,115297
2024-01,WEEKENDS/HOLIDAY,18,TRAIN,NS14,15546,17496
2024-01,WEEKDAY,12,TRAIN,EW17,23983,25992
2024-01,WEEKENDS/HOLIDAY,12,TRAIN,EW17,12822,12087
2024-01,WEEKDAY,11,TRAIN,TE22,1240,4493
2024-01,WEEKENDS/HOLIDAY,11,TRAIN,TE22,762,3106
2024-01,WEEKDAY,0,TRAIN,NE17/PTC,498,3964
2024-01,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,272,2312
2024-01,WEEKDAY,13,TRAIN,BP12,4553,1837
2024-01,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1281,793
2024-01,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,21957,20399
2024-01,WEEKDAY,14,TRAIN,NS17/CC15,49296,44591
2024-01,WEEKDAY,16,TRAIN,CC10/DT26,16567,13656
2024-01,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,7279,6042
2024-01,WEEKENDS/HOLIDAY,6,TRAIN,DT28,3135,1113
2024-01,WEEKDAY,6,TRAIN,DT28,18176,8576
2024-01,WEEKENDS/HOLIDAY,5,TRAIN,DT7,23,5
2024-01,WEEKDAY,5,TRAIN,DT7,200,94
2024-01,WEEKENDS/HOLIDAY,11,TRAIN,PW5,2166,1010
2024-01,WEEKDAY,11,TRAIN,PW5,2423,1533
2024-01,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1713,2497
2024-01,WEEKDAY,18,TRAIN,BP3,4947,15260
2024-01,WEEKENDS/HOLIDAY,22,TRAIN,CC28,516,1847
2024-01,WEEKDAY,22,TRAIN,CC28,1279,4557
2024-01,WEEKDAY,13,TRAIN,SW6,4964,4915
2024-01,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1925,1387
